1120 [  ], sum = 0, rest = 1120
1120 [ 33 ], sum = 1089, rest = 31
1120 [ 33,5 ], sum = 1114, rest = 6
1120 [ 33,5,2 ], sum = 1118, rest = 2
1120 [ 33,5,2,1 ], sum = 1119, rest = 1
1120 [ 32 ], sum = 1024, rest = 96
1120 [ 32,9 ], sum = 1105, rest = 15
1120 [ 32,9,3 ], sum = 1114, rest = 6
1120 [ 32,9,3,2 ], sum = 1118, rest = 2
1120 [ 31 ], sum = 961, rest = 159
1120 [ 31,12 ], sum = 1105, rest = 15
1120 [ 31,12,3 ], sum = 1114, rest = 6
1120 [ 31,12,3,2 ], sum = 1118, rest = 2
1120 [ 30 ], sum = 900, rest = 220
1120 [ 30,14 ], sum = 1096, rest = 24
1120 [ 30,14,4 ], sum = 1112, rest = 8
1120 [ 30,14,4,2 ], sum = 1116, rest = 4
1120 [ 29 ], sum = 841, rest = 279
1120 [ 29,16 ], sum = 1097, rest = 23
1120 [ 29,16,4 ], sum = 1113, rest = 7
1120 [ 29,16,4,2 ], sum = 1117, rest = 3
1120 [ 28 ], sum = 784, rest = 336
1120 [ 28,18 ], sum = 1108, rest = 12
1120 [ 28,18,3 ], sum = 1117, rest = 3
1120 [ 28,18,3,1 ], sum = 1118, rest = 2
1120 [ 27 ], sum = 729, rest = 391
1120 [ 27,19 ], sum = 1090, rest = 30
1120 [ 27,19,5 ], sum = 1115, rest = 5
1120 [ 27,19,5,2 ], sum = 1119, rest = 1
1120 [ 26 ], sum = 676, rest = 444
1120 [ 26,21 ], sum = 1117, rest = 3
1120 [ 26,21,1 ], sum = 1118, rest = 2
1120 [ 26,21,1,1 ], sum = 1119, rest = 1
1120 [ 25 ], sum = 625, rest = 495
1120 [ 25,22 ], sum = 1109, rest = 11
1120 [ 25,22,3 ], sum = 1118, rest = 2
1120 [ 25,22,3,1 ], sum = 1119, rest = 1
1120 [ 24 ], sum = 576, rest = 544
1120 [ 24,23 ], sum = 1105, rest = 15
1120 [ 24,23,3 ], sum = 1114, rest = 6
